"Hey, Soul Sister",Train,97,89,67,-4,8,80,217,19,4
Love The Way You Lie,Eminem,87,93,75,-5,52,64,263,24,23
TiK ToK,Kesha,120,84,76,-3,29,71,200,10,14
Bad Romance,Lady Gaga,119,92,70,-4,8,71,295,0,4
Just the Way You Are,Bruno Mars,109,84,64,-5,9,43,221,2,4
Baby,Justin Bieber,65,86,73,-5,11,54,214,4,14
Dynamite,Taio Cruz,120,78,75,-4,4,82,203,0,9
Secrets,OneRepublic,148,76,52,-6,12,38,225,7,4
Empire State of Mind (Part II) Broken Down,Alicia Keys,93,37,48,-8,12,14,216,74,3
Only Girl (In The World),Rihanna,126,72,79,-4,7,61,235,13,4
Club Can't Handle Me (feat. David Guetta),Flo Rida,128,87,62,-4,6,47,235,3,3
Marry You,Bruno Mars,145,83,62,-5,10,48,230,33,4
Cooler Than Me - Single Mix,Mike Posner,130,82,77,-5,70,63,213,18,5
Telephone,Lady Gaga,122,83,83,-6,11,71,221,1,4
Like A G6,Far East Movement,125,84,44,-8,12,78,217,1,45
OMG (feat. will.i.am),Usher,130,75,78,-6,36,33,269,20,3
Eenie Meenie,Sean Kingston,121,61,72,-4,11,83,202,5,3
The Time (Dirty Bit),The Black Eyed Peas,128,81,82,-8,60,44,308,7,7
Alejandro,Lady Gaga,99,80,63,-7,36,37,274,0,5
Your Love Is My Drug,Kesha,120,61,83,-4,9,76,187,1,10
Meet Me Halfway,The Black Eyed Peas,130,63,80,-7,32,40,284,0,7
Whataya Want from Me,Adam Lambert,186,68,44,-5,6,45,227,1,5
Take It Off,Kesha,125,68,73,-5,9,74,215,0,3
Misery,Maroon 5,103,81,70,-5,22,73,216,0,4
All The Right Moves,OneRepublic,146,95,53,-4,28,65,238,26,5
Animal,Neon Trees,148,83,48,-6,38,74,212,0,4
Naturally,Selena Gomez & The Scene,133,90,61,-5,5,88,203,2,5
I Like It,Enrique Iglesias,129,94,65,-3,6,73,231,2,9
Teenage Dream,Katy Perry,120,80,72,-5,13,59,228,2,4
California Gurls,Katy Perry,125,75,79,-4,18,40,235,0,5
3,Britney Spears,135,71,70,-2,14,79,213,5,5
My First Kiss - feat. Ke$ha,3OH!3,138,89,68,-4,36,83,192,1,8
Blah Blah Blah (feat. 3OH!3),Kesha,120,84,75,-3,42,52,172,8,12
Imma Be,The Black Eyed Peas,92,52,60,-7,31,41,258,18,37
Try Sleeping with a Broken Heart,Alicia Keys,111,82,50,-5,13,55,249,16,11
Sexy Bitch (feat. Akon),David Guetta,130,63,81,-5,13,80,196,8,5
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,164,41,29,-5,13,7,264,83,3
If I Had You,Adam Lambert,131,91,65,-4,37,79,228,1,11
Rock That Body,The Black Eyed Peas,125,91,72,-6,43,84,269,2,10
Dog Days Are Over,Florence + The Machine,150,81,50,-5,12,26,253,3,9
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,150,85,51,-4,12,72,185,47,27
Doesn't Mean Anything,Alicia Keys,104,41,71,-7,10,10,273,4,3
Hard,Rihanna,182,75,31,-4,65,16,251,1,11
Loca,Shakira,112,87,80,-4,9,85,193,19,7
You Lost Me,Christina Aguilera,43,39,23,-6,14,7,257,85,4
Not Myself Tonight,Christina Aguilera,120,81,76,-5,56,54,186,0,4
Written in the Stars (feat. Eric Turner),Tinie Tempah,91,95,64,-4,18,57,220,6,7
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,120,86,66,-3,8,65,221,3,11
Castle Walls (feat. Christina Aguilera),T.I.,80,86,45,-5,26,58,329,7,39
Break Your Heart,Taio Cruz,122,90,67,-5,8,63,186,0,3
Hello,Martin Solveig,128,98,67,-3,10,45,191,1,3
A Thousand Years,Christina Perri,139,41,42,-7,11,16,285,31,3
Someone Like You,Adele,135,33,56,-8,10,28,285,89,3
